INPUT MATRIX 
47.00,47.00,50.00,44.00,45.00,44.00,43.00,41.00
48.00,53.00,64.00,67.00,47.00,38.00,43.00,41.00
53.00,64.00,79.00,91.00,76.00,47.00,46.00,41.00
60.00,73.00,85.00,95.00,100.00,89.00,91.00,96.00
72.00,83.00,87.00,89.00,91.00,99.00,96.00,111.00
86.00,98.00,101.00,98.00,105.00,107.00,111.00,113.00
92.00,100.00,106.00,104.00,102.00,104.00,116.00,110.00
85.00,86.00,95.00,94.00,99.00,104.00,93.00,105.00

INPUT MATRIX (Reduced) 
-81.00,-81.00,-78.00,-84.00,-83.00,-84.00,-85.00,-87.00
-80.00,-75.00,-64.00,-61.00,-81.00,-90.00,-85.00,-87.00
-75.00,-64.00,-49.00,-37.00,-52.00,-81.00,-82.00,-87.00
-68.00,-55.00,-43.00,-33.00,-28.00,-39.00,-37.00,-32.00
-56.00,-45.00,-41.00,-39.00,-37.00,-29.00,-32.00,-17.00
-42.00,-30.00,-27.00,-30.00,-23.00,-21.00,-17.00,-15.00
-36.00,-28.00,-22.00,-24.00,-26.00,-24.00,-12.00,-18.00
-43.00,-42.00,-33.00,-34.00,-29.00,-24.00,-35.00,-23.00

DCT MATRIX 
-387.75,-21.06,-27.63,-23.43,0.75,-1.52,-0.73,1.67
-165.97,36.37,-14.74,-6.43,5.75,6.73,-4.94,1.02
-53.66,20.78,11.00,6.97,-3.68,4.66,4.75,0.93
15.80,-16.27,25.60,7.44,-10.97,-3.28,1.41,0.02
-1.50,-24.43,9.02,8.76,1.50,-9.30,8.71,-2.21
18.95,-4.45,-4.74,3.03,-1.58,1.40,-5.98,5.54
-6.73,8.98,-9.00,4.04,2.88,-4.85,0.75,1.79
-11.84,11.33,-1.09,-1.54,0.61,1.51,-0.07,-1.72

QUANTIZATION MATRIX 
16,11,10,16,24,40,51,61
12,12,14,19,26,58,60,55
14,13,16,24,40,57,69,56
14,17,22,29,51,87,80,62
18,22,37,56,68,109,103,77
24,35,55,64,81,104,113,92
49,64,78,87,103,121,120,101
72,92,95,98,112,100,103,99

Quantized DCT MATRIX 
-24,-1,-2,-1,0,0,0,0
-13,3,-1,0,0,0,0,0
-3,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0
0,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0

Dequantized DCT MATRIX 
-384,-11,-20,-16,0,0,0,0
-156,36,-14,0,0,0,0,0
-42,13,0,0,0,0,0,0
14,0,22,0,0,0,0,0
0,-22,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0

Inverse the DCT MATRIX to Original 
-78,-75,-72,-74,-80,-85,-86,-85
-73,-67,-62,-63,-70,-80,-86,-89
-69,-61,-52,-50,-55,-64,-72,-76
-63,-56,-46,-40,-41,-43,-45,-45
-46,-42,-37,-35,-34,-31,-26,-21
-30,-28,-28,-30,-31,-29,-22,-17
-33,-30,-27,-27,-28,-27,-24,-20
-47,-40,-31,-26,-24,-24,-22,-20

Inverse the DCT MATRIX to Original 
3,6,6,10,3,1,1,2
7,8,2,2,11,10,1,2
6,3,3,13,3,17,10,11
5,1,3,7,13,4,8,13
10,3,4,4,3,2,6,4
12,2,1,0,8,8,5,2
3,2,5,3,2,3,12,2
4,2,2,8,5,0,13,3

